Site	Year	N.week	N.hoppers	Hoppers.week	Max.hoppers	First	Peak	Last	Range	Lon	Lat	First.date	Last.date	wd.0.first	wd.1.first	wd.2.first	wd.3.first	wd.4.first	wd.5.first	wd.6.first	wd.0.last	wd.1.last	wd.2.last	wd.3.last	wd.4.last	wd.5.last	wd.6.last	Precip.days.week.last.date	GDD.last.date	Precip.days.week.first.date	GDD.first.date	p.alfalfa	p.potato	p.beans	GDD.total
Ames, IA	2018	23	1	0.0434782608695652	1	201	201	201	0	-93.78	42.02	2018-07-20	2018-07-20	144.11058750674	306.043015156534	355.883249104147	26.8183191927745	88.1241589958242	77.0354559029548	91.6759171160259	144.11058750674	306.043015156534	355.883249104147	26.8183191927745	88.1241589958242	77.0354559029548	91.6759171160259	7.00000006321352	1187.26087550521	7.00000006321352	1187.26087550521	0.00317185697808535	0	0.193771626297578	2166.09587708414
Ames, IA	2019	23	3	0.130434782608696	2	158	158	165	7	-93.78	42.02	2019-06-07	2019-06-14	345.677301585721	53.0992227359811	197.746100755302	278.039630326882	265.080598485428	95.0928747639174	179.995189198714	248.797815292532	133.15248051932	124.519462069954	231.92317627261	144.306085437086	104.139197148892	318.489495586689	4.36249995231628	478.287249606848	1.86874998261919	396.789624446631	0.00547866205305652	0	0.504901960784314	2044.11924864016
Ames, IA	2020	23	11	0.478260869565217	2	157	227	290	133	-93.78	42.02	2020-06-05	2020-10-16	271.161186079368	341.512079941741	164.658386268428	232.844389376031	266.761436497939	296.282874440461	100.687571844732	180.54730067636	145.755292730182	239.217203409509	196.083371215977	210.223181949593	316.380451575245	63.0557532809161	0.223999997600913	2076.29474818101	1.75224999338388	397.454875080939	0.015282583621684	0	0.130334486735871	2078.62837332031
Ames, IA	2021	21	8	0.380952380952381	8	211	211	211	0	-93.78	42.02	2021-07-30	2021-07-30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1295.70887828222	0	1295.70887828222	0.00547866205305652	0	0.554786620530565	2310.231492654
Arlington, WI	2018	16	1	0.0625	1	166	166	166	0	-89.33	43.32	2018-06-15	2018-06-15	293.611360703497	184.583041114943	147.194372117411	344.49683652693	4.55894610438065	14.9871860365035	7.40508998679144	293.611360703497	184.583041114943	147.194372117411	344.49683652693	4.55894610438065	14.9871860365035	7.40508998679144	31.6350001692772	497.311000105552	31.6350001692772	497.311000105552	0.182916307161346	0.000287604256542997	0.127696289905091	1945.16124655288
Arlington, WI	2019	23	16	0.695652173913043	5	165	207	284	119	-89.33	43.32	2019-06-14	2019-10-11	223.971125975259	114.896976065598	240.679773324572	201.543147998428	135.059298630679	8.12618184920683	354.356918143259	252.391237997924	317.405974529956	291.129231581899	257.104387356305	199.413580645247	218.960182007085	322.333825540948	20.0705001354218	1780.83925180733	18.2734999060631	356.426750913262	0.210238711532931	0.000575208513085994	0.109002013229796	1782.6392519027
Arlington, WI	2020	22	14	0.636363636363636	3	164	164	269	105	-89.33	43.32	2020-06-12	2020-09-25	157.630130970526	177.191031835038	239.217667452062	322.231270510885	297.738746819008	344.345564323056	116.556984299648	262.100241857942	233.945089634357	221.486436425373	241.025951084713	270.51958259935	281.35222742982	280.717369385673	2.28150004148483	1686.0682511434	30.5834994073957	372.720498929918	0.240149554213402	0.00172562553925798	0.179177451826287	1781.93200194091
Arlington, WI	2021	23	13	0.565217391304348	5	148	218	295	147	-89.33	43.32	2021-05-28	2021-10-22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.54624992609024	2052.49492638912	24.04674936831	293.433209862374	0.234397469082542	0	0.107563991947081	2052.49492638912
Chase, LA	2018	17	1	0.0588235294117647	1	152	152	152	0	-91.7	32.1	2018-06-01	2018-06-01	243.793218021205	252.620454615975	227.388341626277	103.282285597877	65.4710569009355	337.3898908661	258.523672777219	243.793218021205	252.620454615975	227.388341626277	103.282285597877	65.4710569009355	337.3898908661	258.523672777219	10.5430003050715	1284.90550050586	10.5430003050715	1284.90550050586	0	0	0.210178263369753	3774.38699707836
Chase, LA	2019	4	2	0.5	1	165	165	193	28	-91.7	32.1	2019-06-14	2019-07-12	354.500314994277	93.9679193354778	121.473041960118	78.8569067219677	86.8785743731054	108.893054404269	142.667379569535	40.0645558952557	80.1107914524471	121.02985323562	159.257549675136	159.267830871427	187.176742550094	174.250322954229	12.6715000905097	1950.04324742947	0.22800000658026	1431.05074741039	0	0	0.0954571592869465	3673.04149655495
